;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;6s1/2;6p1/2;6p3/2
1s1/2;0.31252;0.01419;0.00304;0.00301;0.00325;0.00023;0.00023;0.00002;0.00002;0.00090;0.00003;0.00003;0.00000;0.00000;0.00000;0.00000;0.00035;0.00001;0.00001;0.00000;0.00000;0.00014;0.00000;0.00000
2s1/2;0.75494;0.30084;0.3754;0.37458;0.02937;0.0329;0.03251;0.01681;0.01643;0.00604;0.00497;0.00487;0.00245;0.00233;0.00017;0.00016;0.00238;0.00172;0.00167;0.00025;0.00023;0.00112;0.00055;0.00050
2p1/2;0.9382;0.2147;0.36341;0.34478;0.02601;0.02478;0.02547;0.00978;0.00998;0.00611;0.0034;0.00339;0.00138;0.00134;0.00008;0.00007;0.00252;0.00114;0.00112;0.00013;0.00012;0.00117;0.00034;0.00031
2p3/2;0.93808;0.21547;0.34681;0.35163;0.0262;0.0261;0.02519;0.01099;0.01047;0.00624;0.00367;0.00354;0.0017;0.0016;0.00017;0.00015;0.00263;0.00133;0.00128;0.00024;0.00022;0.00133;0.00053;0.00048
3s1/2;0.85861;0.67471;0.72401;0.72326;0.2989;0.21551;0.21268;0.38875;0.38682;0.03793;0.03056;0.03032;0.06129;0.06059;0.02981;0.02844;0.0123;0.01133;0.01127;0.01219;0.01179;0.00495;0.00503;0.00496
3p1/2;0.97306;0.75977;0.7836;0.81608;0.35019;0.32348;0.3038;0.36303;0.38115;0.03822;0.02925;0.03013;0.05745;0.0574;0.02283;0.02233;0.01245;0.01117;0.01131;0.01036;0.01006;0.00471;0.00482;0.00479
3p3/2;0.97286;0.76132;0.81871;0.80071;0.35361;0.31074;0.31266;0.38677;0.37441;0.03884;0.03074;0.02998;0.06045;0.05929;0.03172;0.02986;0.01279;0.01161;0.01144;0.01277;0.0123;0.00528;0.0053;0.00519
3d3/2;0.99879;0.89141;0.89977;0.93473;0.25144;0.28048;0.28852;0.37421;0.37571;0.04043;0.03475;0.0348;0.04911;0.04939;0.01667;0.0165;0.012;0.01212;0.01206;0.00841;0.00816;0.00448;0.00491;0.0048
3d5/2;0.99879;0.89184;0.94164;0.91374;0.25337;0.29827;0.28287;0.3812;0.37572;0.04066;0.03521;0.0348;0.05135;0.04959;0.01934;0.01784;0.01215;0.01231;0.01217;0.00921;0.00876;0.00466;0.00514;0.005
4s1/2;0.914;0.81267;0.83394;0.83235;0.64387;0.67039;0.66853;0.68954;0.68885;0.29827;0.1616;0.15959;0.26809;0.26442;0.3742;0.36996;0.04787;0.04107;0.04085;0.0487;0.04794;0.01779;0.01625;0.016
4p1/2;0.98423;0.90608;0.91468;0.93224;0.72916;0.71618;0.74128;0.74337;0.74933;0.39912;0.31156;0.29243;0.26106;0.27574;0.36468;0.3651;0.05128;0.04146;0.04265;0.04756;0.04727;0.0177;0.01573;0.01572
4p3/2;0.98365;0.90694;0.93526;0.92285;0.72995;0.74347;0.72866;0.75001;0.7461;0.4017;0.2988;0.30091;0.28646;0.2732;0.39196;0.38508;0.05239;0.04361;0.04265;0.05158;0.05055;0.01895;0.01711;0.01671
4d3/2;0.99884;0.95892;0.95497;0.97419;0.70255;0.72361;0.72494;0.7682;0.78418;0.34915;0.3351;0.3464;0.33032;0.32941;0.37271;0.38119;0.06215;0.05101;0.05113;0.0496;0.05007;0.01831;0.01671;0.01647
4d5/2;0.99884;0.95882;0.97856;0.96173;0.70427;0.73484;0.72217;0.78947;0.77359;0.35342;0.36316;0.33896;0.33796;0.33158;0.39379;0.3799;0.06277;0.05192;0.0513;0.05185;0.05035;0.01875;0.01721;0.01685
