;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;6s1/2;6p1/2;6p3/2
1s1/2;0.310000;0.026843;0.004874;0.004639;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0;0;0
2s1/2;0.687354;0.276083;0.273158;0.266339;0.059838;0.013608;0.013521;0.001290;0.001125;0.006777;0.000433;0.000226;0.000701;0.000612;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0;0;0
2p1/2;0.922154;0.326326;0.346548;0.325740;0.071461;0.023271;0.022907;0.006089;0.002486;0.021477;0.009807;0.009548;0.001396;0.001239;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0;0;0
2p3/2;0.931159;0.326403;0.366836;0.346801;0.090301;0.047865;0.040885;0.008301;0.007629;0.023537;0.015806;0.012559;0.002596;0.002225;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0;0;0
3s1/2;0.931163;0.577444;0.565396;0.565113;0.274537;0.274040;0.253588;0.175193;0.174976;0.071835;0.032258;0.028466;0.003119;0.002735;0.000384;0.000198;0.010507;0.003836;0.002354;0;0;0;0;0
3p1/2;0.944595;0.802643;0.744282;0.732800;0.286027;0.313099;0.266505;0.313889;0.313641;0.079570;0.035987;0.023966;0.020664;0.016675;0.001529;0.001021;0.019019;0.011431;0.010722;0;0;0;0;0
3p3/2;0.946205;0.857747;0.746627;0.739522;0.291605;0.358014;0.311961;0.329175;0.321752;0.091570;0.039760;0.028123;0.022551;0.021412;0.003176;0.002736;0.025215;0.032829;0.016105;0;0;0;0;0
3d3/2;0.991804;0.986343;0.943187;0.935563;0.482186;0.316150;0.314371;0.374963;0.371989;0.092568;0.085482;0.061081;0.041642;0.032507;0.024368;0.022975;0.045098;0.020546;0.013162;0;0;0;0;0
3d5/2;0.995148;0.991469;0.945305;0.937540;0.487336;0.330501;0.317032;0.385433;0.376506;0.096647;0.093655;0.085402;0.044772;0.043081;0.024540;0.018844;0.080244;0.047496;0.043044;0;0;0;0;0
4s1/2;0.946211;0.809161;0.776381;0.728220;0.573596;0.573582;0.501607;0.625283;0.600557;0.301893;0.217471;0.198109;0.193773;0.182372;0.120176;0.116722;0.053658;0.035404;0.018621;0;0;0;0;0
4p1/2;0.960713;0.909645;0.898199;0.821485;0.677496;0.660517;0.632320;0.651146;0.636113;0.302749;0.332135;0.279383;0.270004;0.264208;0.246791;0.246045;0.063882;0.059108;0.044883;0;0;0;0;0
4p3/2;0.961982;0.923262;0.903373;0.823412;0.704188;0.721692;0.661577;0.695897;0.679703;0.311613;0.346999;0.317451;0.273121;0.266488;0.300605;0.288689;0.081908;0.076144;0.070394;0;0;0;0;0
4d3/2;0.983307;0.970650;0.966158;0.960033;0.948710;0.922373;0.898505;0.725244;0.701234;0.447955;0.338928;0.317198;0.340266;0.332231;0.279393;0.273146;0.111448;0.080698;0.053868;0;0;0;0;0
4d5/2;0.987484;0.979269;0.975108;0.974309;0.959582;0.927196;0.906760;0.727377;0.702986;0.463023;0.348033;0.334389;0.354915;0.341973;0.286698;0.227972;0.192517;0.125445;0.103158;0;0;0;0;0
4f5/2;0.995662;0.995787;0.996189;0.992692;0.945862;0.938952;0.931108;0.932405;0.937586;0.568698;0.425590;0.401580;0.401854;0.394334;0.387441;0.374142;0.113721;0.086975;0.055952;0;0;0;0;0
4f7/2;0.998476;0.999104;0.998971;0.999341;0.964455;0.956705;0.948302;0.934684;0.960703;0.571245;0.456563;0.427646;0.402381;0.433531;0.409086;0.386863;0.235591;0.102287;0.071251;0;0;0;0;0
5s1/2;0.965527;0.953852;0.892634;0.845963;0.836598;0.712495;0.662736;0.688440;0.635962;0.490626;0.598787;0.567349;0.553822;0.435666;0.719524;0.637089;0.298852;0.336598;0.318967;0;0;0;0;0
5p1/2;0.992639;0.987705;0.881411;0.872450;0.853008;0.752635;0.818444;0.764568;0.725378;0.507460;0.582875;0.603455;0.621961;0.565777;0.728266;0.661506;0.206857;0.325067;0.235274;0;0;0;0;0
5p3/2;0.996253;0.989251;0.964836;0.880491;0.862306;0.838666;0.852089;0.797661;0.728924;0.514170;0.658522;0.639552;0.673511;0.607985;0.734385;0.635252;0.243956;0.401179;0.318171;0;0;0;0;0
5d3/2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5d5/2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6s1/2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6p1/2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6p3/2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
